name	type	units	description	sampling_frequency	low_cutoff	high_cutoff	notch
Fp1	EEG	uV	electrode	200	0.0500000007450581	100	60
Fp2	EEG	uV	electrode	200	0.0500000007450581	100	60
F3	EEG	uV	electrode	200	0.0500000007450581	100	60
F4	EEG	uV	electrode	200	0.0500000007450581	100	60
C3	EEG	uV	electrode	200	0.0500000007450581	100	60
C4	EEG	uV	electrode	200	0.0500000007450581	100	60
P3	EEG	uV	electrode	200	0.0500000007450581	100	60
P4	EEG	uV	electrode	200	0.0500000007450581	100	60
O1	EEG	uV	electrode	200	0.0500000007450581	100	60
O2	EEG	uV	electrode	200	0.0500000007450581	100	60
F7	EEG	uV	electrode	200	0.0500000007450581	100	60
F8	EEG	uV	electrode	200	0.0500000007450581	100	60
T3	EEG	uV	electrode	200	0.0500000007450581	100	60
T4	EEG	uV	electrode	200	0.0500000007450581	100	60
T5	EEG	uV	electrode	200	0.0500000007450581	100	60
T6	EEG	uV	electrode	200	0.0500000007450581	100	60
FZ	EEG	uV	electrode	200	0.0500000007450581	100	60
CZ	EEG	uV	electrode	200	0.0500000007450581	100	60
PZ	EEG	uV	electrode	200	0.0500000007450581	100	60
Pg1	EEG	uV	electrode	200	0.0500000007450581	100	60
Pg2	EEG	uV	electrode	200	0.0500000007450581	100	60
